2455992.01915065   5546.16   5537.86   12.18  125.28  -8150.24 228. 0 0    444.19  111 RV70314_psi1Dra_A_cell_20120305_XP7.da
2456016.92540442   5674.36   5658.53   13.74  141.04  -8622.32 255. 0 0    531.73  114 RV70483_psi1Dra_A_cell_20120330_XP7.da
2456106.77630907   5810.23   5784.20   14.53  148.58  -6192.91 249. 0 0    519.86  110 RV71933_psi1Dra_A_cell_20120628_XP7.da
2456138.83705826   5968.08   5944.34   19.52  198.30  -4870.82 254. 0 0    619.10  113 RV72585_psi1Dra_A_cell_20120730_XP7.da
2456145.65470941   5957.32   5947.04   24.72  255.36  -4450.46 245. 0 0    937.87  117 RV72941_psi1Dra_A_cell_20120806_XP7.da
2456145.65781209   5958.28   5928.66   17.78  176.78  -4453.69 245. 0 0    730.16  106 RV72942_psi1Dra_A_cell_20120806_XP7.da
2456145.66054926   5968.86   5965.17   17.96  183.00  -4466.27 245. 0 0    732.83  111 RV72943_psi1Dra_A_cell_20120806_XP7.da
2456173.73133213   5970.40   5954.69   17.51  176.53  -3543.40 256. 0 0    851.67  111 RV74034_psi1Dra_A_cell_20120903_XP7.da
2456401.96616682   6977.56   6964.27   14.16  146.75  -9892.49 236. 0 0    420.11  117 RV78643_psi1Dra_A_cell_20130419_XEM.da
2456401.96854435   6953.02   6941.40   12.09  123.18  -9869.75 237. 0 0    422.42  120 RV78644_psi1Dra_A_cell_20130419_XEM.da
2456433.74198175   7241.33   7238.42   12.54  128.71  -9236.14 246. 0 0    495.87  116 RV79536_psi1Dra_A_cell_20130521_XEM.da
2456433.74421449   7203.48   7208.51   12.07  124.61  -9199.49 246. 0 0    503.13  113 RV79537_psi1Dra_A_cell_20130521_XEM.da
2456435.87020871   7217.60   7208.33   14.82  154.05  -9228.86 240. 0 0    520.77  117 RV79762_psi1Dra_A_cell_20130523_XEM.da
2456435.87231043   7213.49   7205.13   14.69  151.12  -9226.29 240. 0 0    522.64  113 RV79763_psi1Dra_A_cell_20130523_XEM.da
2456461.87214074   7361.03   7357.55   12.29  123.25  -8290.94 253. 0 0    695.27  108 RV80090_psi1Dra_A_cell_20130618_XEM.da
2456461.87526330   7336.85   7350.66   15.41  158.09  -8268.66 252. 0 0    714.07  113 RV80091_psi1Dra_A_cell_20130618_XEM.da
2456461.87840021   7342.47   7325.57   15.86  164.60  -8276.16 253. 0 0    697.82  112 RV80092_psi1Dra_A_cell_20130618_XEM.da
2456465.80449961   7270.79   7296.78   14.28  145.19  -7969.91 242. 0 0    630.37  116 RV80355_psi1Dra_A_cell_20130622_XEM.da
2456497.85702487   7589.46   7573.50   18.96  190.08  -6785.98 289. 0 0   1445.04  109 RV80667_psi1Dra_A_cell_20130724_XEM.da
2456519.61591552   7775.99   7764.82   14.51  146.98  -5894.10 235. 0 0    642.79  107 RV81615_psi1Dra_A_cell_20130815_XEM.da
2456525.66010401   7740.96   7725.20   17.22  175.30  -5676.42 244. 0 0    610.59  111 RV82282_psi1Dra_A_cell_20130821_XEM.da
2456560.58299082   7835.31   7811.59   13.27  135.87  -4937.21 246. 0 0    455.70  116 RV83486_psi1Dra_A_cell_20130925_XEM.da
2456564.59404685   7794.94   7780.64   14.55  152.16  -4876.09 247. 0 0    482.61  113 RV83946_psi1Dra_A_cell_20130929_XEM.da
2456613.55172379   8097.36   8088.58   15.79  161.36  -5929.67 241. 0 0    538.13  115 RV85100_psi1Dra_A_cell_20131117_XEM.da
